GENEID	GENENAME	GENEDESCRP	METABOLIC
YLR233C	EST1	Ever Shorter Telomeres	NA
YLR318W	EST2	Ever Shorter Telomeres	NA
YIL009C-A	EST3	Ever Shorter Telomeres	NA
YHL010C	ETP1	Ethanol Tolerance Protein	NA
YBR026C	ETR1	2-Enoyl Thioester Reductase	Yeast7.6
YOR051C	ETT1	Enhancer of Translation Termination 1	NA
YDR518W	EUG1	ER protein Unnecessary for Growth	NA
YLR300W	EXG1	"EXo-1,3-beta-Glucanase"	Yeast7.6
YDR261C	EXG2	"EXo-1,3-beta-Glucanase"	Yeast7.6
YOR033C	EXO1	EXOnuclease	NA
YBR163W	EXO5	EXOnuclease V	NA
YJL085W	EXO70	EXOcyst	NA
YBR102C	EXO84	EXOcyst	NA
YOR317W	FAA1	Fatty Acid Activation	Yeast7.6
YER015W	FAA2	Fatty Acid Activation	Yeast7.6
YIL009W	FAA3	Fatty Acid Activation	Yeast7.6
YMR246W	FAA4	Fatty Acid Activation	Yeast7.6
YFR019W	FAB1	Forms Aploid and Binucleate cells	Yeast7.6
YDL045C	FAD1	FAD synthetase	Yeast7.6
YIL019W	FAF1	Forty (40) S Assembly Factor 	NA
YDR021W	FAL1	eukaryotic translation initiation factor Four A Like	NA
YNL023C	FAP1	FKBP12-Associated Protein	NA
YDL166C	FAP7	Factor Activating Pos9	NA
YJL157C	FAR1	Factor ARrest	NA
YLR238W	FAR10	Factor ARrest	NA
YNL127W	FAR11	Factor ARrest	NA
YMR052W	FAR3	Factor ARrest	NA
YFR008W	FAR7	Factor ARrest	NA
YMR029C	FAR8	Factor ARrest	NA
YKL182W	FAS1	Fatty Acid Synthetase	Yeast7.6
YPL231W	FAS2	Fatty Acid Synthetase	Yeast7.6
YBR041W	FAT1	FATty acid transporter	Yeast7.6
YKL187C	FAT3	FATty acid transporter 3	NA
YER183C	FAU1	Folinic Acid Utilization	Yeast7.6
YKL060C	FBA1	"Fructose-1,6-Bisphosphate Aldolase"	Yeast7.6
YLR377C	FBP1	"Fructose-1,6-BisPhosphatase"	Yeast7.6
YJL155C	FBP26	Fructose BisPhosphatase	Yeast7.6
YDR339C	FCF1	Faf1p Copurifying Factor	NA
YLR051C	FCF2	Faf1p Copurifying Factor	NA
YMR277W	FCP1	tfiiF-associating component of Ctd Phosphatase	NA
YPR062W	FCY1	FluoroCYtosine resistance	Yeast7.6
YER056C	FCY2	FluoroCYtosine resistance	Yeast7.6
YER060W	FCY21	FluoroCYtosine resistance	Yeast7.6
YER060W-A	FCY22	FluoroCYtosine resistance	Yeast7.6
YDR539W	FDC1	Ferulic acid DeCarboxylase	NA
YOR388C	FDH1	Formate DeHydrogenase	Yeast7.6
YMR144W	FDO1	Forkhead one interacting protein involved in DOnor preference	NA
YCR028C	FEN2	FENpropimorph resistance	Yeast7.6
YBR101C	FES1	Factor Exchange for Ssa1p	NA
YMR058W	FET3	FErrous Transport	NA
YMR319C	FET4	FErrous Transport	Yeast7.6
YFL041W	FET5	FErrous Transport	NA
YOR390W	FEX1		NA
YPL279C	FEX2		NA
YPR104C	FHL1	Fork Head-Like	NA
YGR131W	FHN1	Functional Homolog of Nce102	NA
YBR040W	FIG1	Factor-Induced Gene	NA
YCR089W	FIG2	Factor-Induced Gene	NA
YNL325C	FIG4	Factor-Induced Gene	Yeast7.6
YDR130C	FIN1	Filaments In between Nuclei	NA
YJR093C	FIP1	Factor Interacting with Poly(A) polymerase	NA
YER032W	FIR1	Factor Interacting with REF2	NA
YIL065C	FIS1	mitochondrial FISsion	NA
YDR534C	FIT1	Facilitator of Iron Transport	NA
YOR382W	FIT2	Facilitator of Iron Transport	NA
YOR383C	FIT3	Facilitator of Iron Transport	NA
YIL131C	FKH1	ForK head Homolog	NA
YNL068C	FKH2	ForK head Homolog	NA
YLR342W	FKS1	FK506 Sensitivity	Yeast7.6
YMR306W	FKS3	FK506 Sensitivity	NA
YPL221W	FLC1	FLavin Carrier	NA
YAL053W	FLC2	FLavin Carrier	NA
YGL139W	FLC3	FLavin Carrier	NA
YAR050W	FLO1	FLOcculation	NA
YKR102W	FLO10	FLOcculation	NA
YIR019C	FLO11	FLOcculation	NA
YHR211W	FLO5	FLOcculation	NA
YAL063C	FLO9	FLOcculation	NA
R0010W	FLP1	FLiPase	NA
YBR008C	FLR1	FLuconazole Resistance	NA
YIL134W	FLX1	FLavin eXchange	Yeast7.6
YIL098C	FMC1	Formation of Mitochondrial Complexes	NA
YDR236C	FMN1	FMN biosynthesis	Yeast7.6
YHR176W	FMO1	Flavin containing MonoOxygenase	NA
YER182W	FMP10	Found in Mitochondrial Proteome	NA
YDR070C	FMP16	Found in Mitochondrial Proteome	NA
YBR047W	FMP23	Found in Mitochondrial Proteome	NA
YLR077W	FMP25	Found in Mitochondrial Proteome	NA
YLR454W	FMP27	Found in Mitochondrial Proteome	NA
YPL103C	FMP30	Found in Mitochondrial Proteome	NA
YFL046W	FMP32	Found in Mitochondrial Proteome	NA
YJL161W	FMP33	Found in Mitochondrial Proteome	NA
YPL222W	FMP40	Found in Mitochondrial Proteome	NA
YNL168C	FMP41	Found in Mitochondrial Proteome	NA
YMR221C	FMP42	Found in Mitochondrial Proteome	NA
YDL222C	FMP45	Found in Mitochondrial Proteome	NA
YKR049C	FMP46	Found in Mitochondrial Proteome	NA
YGR052W	FMP48	Found in Mitochondrial Proteome	NA
YER038W-A	FMP49	Found in Mitochondrial Proteome	NA
YER004W	FMP52	Found in Mitochondrial Proteome	NA
YMR020W	FMS1	Fenpropimorph-resistance Multicopy Suppressor	Yeast7.6
YBL013W	FMT1	Formyl-Methionyl-tRNA Transformylase	Yeast7.6
YDR110W	FOB1	FOrk Blocking less	NA
YNL256W	FOL1	FOLic acid synthesis	Yeast7.6
YGR267C	FOL2	FOLic acid synthesis	Yeast7.6
YMR113W	FOL3	FOLic acid synthesis	Yeast7.6
YKR009C	FOX2	Fatty acid OXidation	Yeast7.6
YNR047W	FPK1	FliPase Kinase 1	NA
YNL135C	FPR1	Fk 506-sensitive Proline Rotamase	NA
YDR519W	FPR2	FKBP Proline Rotamase	NA
YML074C	FPR3	Fk 506-sensitive Proline Rotamase	NA
YLR449W	FPR4	FKBP Proline Rotamase (isomerase)	NA
YLL043W	FPS1	fdp1 Suppressor	Yeast7.6
YLL029W	FRA1	Fe Repressor of Activation	NA
YEL047C	FRD1	Fumarate ReDuctase	Yeast7.6
YLR214W	FRE1	Ferric REductase	NA
YKL220C	FRE2	Ferric REductase	NA
YOR381W	FRE3	Ferric REductase	NA
YNR060W	FRE4	Ferric REductase	NA
YOR384W	FRE5	Ferric REductase	NA
YLL051C	FRE6	Ferric REductase	NA
YOL152W	FRE7	Ferric REductase	NA
YLR047C	FRE8		NA
YPL141C	FRK1	Fatty acyl-CoA synthetase and RNA processing-associated Kinase	NA
YCL026C-A	FRM2	Fatty acid Repression Mutant	NA
YDR373W	FRQ1	FReQuenin homolog	Yeast7.6
YLR060W	FRS1	phenylalanyl (F)-tRNA Synthetase	Yeast7.6
YFL022C	FRS2	phenylalanyl (F)-tRNA Synthetase	Yeast7.6
YOR324C	FRT1	Functionally Related to TCP1	NA
YAL028W	FRT2	Functionally Related to TCP1	NA
YOR271C	FSF1	Fungal SideroFlexin 1	NA
YHR049W	FSH1	Family of Serine Hydrolases	NA
YMR222C	FSH2	Family of Serine Hydrolases	NA
YOR280C	FSH3	Family of Serine Hydrolases	NA
YBR207W	FTH1	FTR1 Homolog	NA
YER145C	FTR1	Fe TRansporter	NA
YCR076C	FUB1	FUnction of Boundary	NA
YBL042C	FUI1	5-FlUorourIdine resistance	Yeast7.6
YPL262W	FUM1	FUMarase	Yeast7.6
YAL035W	FUN12	Function Unknown Now	NA
YAL008W	FUN14	Function Unknown Now	NA
YAL034C	FUN19	Function Unknown Now	NA
YAL022C	FUN26	Function Unknown Now	Yeast7.6
YAL019W	FUN30	Function Unknown Now	NA
YHR128W	FUR1	5-FluoroURidine resistant	Yeast7.6
YBR021W	FUR4	5-FlUoRouridine sensitivity	Yeast7.6
YCL027W	FUS1	cell FUSion	NA
YMR232W	FUS2	cell FUSion	NA
YBL016W	FUS3	cell FUSion	NA
YDR024W	FYV1	Function required for Yeast Viability	NA
YIL097W	FYV10	Function required for Yeast Viability	NA
YOR183W	FYV12	Function required for Yeast Viability	NA
YHR059W	FYV4	Function required for Yeast Viability	NA
YCL058C	FYV5	Function required for Yeast Viability	NA
YNL133C	FYV6	Function required for Yeast Viability	NA
YLR068W	FYV7	Function required for Yeast Viability	NA
YGR196C	FYV8	Function required for Yeast Viability	NA
YGL254W	FZF1	Five Zinc Fingers	NA
YBR179C	FZO1	FuZzy Onions homolog	NA
YLR088W	GAA1	GPI Anchor Attachment	NA
YLR459W	GAB1	GPI and Actin Bar	NA
YOR178C	GAC1	Glycogen ACcumulation	NA
YMR250W	GAD1	GlutAmate Decarboxylase	Yeast7.6
YBR020W	GAL1	GALactose metabolism	Yeast7.6
YBR019C	GAL10	GALactose metabolism	Yeast7.6
YOL051W	GAL11	GALactose metabolism	NA
YLR081W	GAL2	GALactose metabolism	Yeast7.6
YDR009W	GAL3	GALactose metabolism	NA
YPL248C	GAL4	GALactose metabolism	NA
YBR018C	GAL7	GALactose metabolism	Yeast7.6
YML051W	GAL80	GALactose metabolism	NA
YER027C	GAL83	GALactose metabolism	NA
YKR039W	GAP1	General Amino acid Permease	Yeast7.6
YHR089C	GAR1	Glycine Arginine Rich	NA
YMR307W	GAS1	Glycophospholipid-Anchored Surface protein	NA
YLR343W	GAS2	Glycophospholipid-Anchored Surface protein	NA
YMR215W	GAS3	Glycophospholipid-Anchored Surface protein	NA
YOL132W	GAS4	Glycophospholipid-Anchored Surface protein	NA
YOL030W	GAS5	Glycophospholipid-Anchored Surface protein	NA
YFL021W	GAT1		NA
YMR136W	GAT2		NA
YLR013W	GAT3		NA
YIR013C	GAT4		NA
YCL011C	GBP2	G-strand Binding Protein	NA
YOR260W	GCD1	General Control Derepressed	NA
YNL062C	GCD10	General Control Derepressed	NA
YER025W	GCD11	General Control Derepressed	NA
YJL125C	GCD14	General Control Nonderepressible	NA
YGR083C	GCD2	General Control Derepressed	NA
YDR211W	GCD6	General Control Derepressed	NA
YLR291C	GCD7	General Control Derepressed	NA
YER163C	GCG1	Gamma-glutamyl Cyclotransferase acting on Glutathione	NA
YGL195W	GCN1	General Control Nonderepressible	NA
YDR283C	GCN2	General Control Nonderepressible	NA
YFR009W	GCN20	General Control Nonderepressible	NA
YKR026C	GCN3	General Control Nonderepressible	NA
YEL009C	GCN4	General Control Nonderepressible	NA
YGR252W	GCN5	General Control Nonderepressible	NA
YPL075W	GCR1	GlyColysis Regulation	NA
YNL199C	GCR2	GlyColysis Regulation	NA
YDL226C	GCS1	Growth Cold Sensitive	NA
YDR019C	GCV1	GlyCine cleaVage	Yeast7.6
YMR189W	GCV2	GlyCine cleaVage	Yeast7.6
YAL044C	GCV3	GlyCine cleaVage	Yeast7.6
YOR120W	GCY1	Galactose-inducible Crystallin-like Yeast protein	Yeast7.6
YEL042W	GDA1	Guanosine DiphosphatAse	Yeast7.6
YPR184W	GDB1	Glycogen DeBranching	Yeast7.6
YPL110C	GDE1	GlycerophosphoDiEsterase	Yeast7.6
YOR375C	GDH1	Glutamate DeHydrogenase	Yeast7.6
YDL215C	GDH2	Glutamate DeHydrogenase	Yeast7.6
YAL062W	GDH3	Glutamate DeHydrogenase	Yeast7.6
YER136W	GDI1	GDP Dissociation Inhibitor	NA
YOR355W	GDS1		NA
YBR187W	GDT1	Gcr1 Dependent Translation factor	NA
YJR031C	GEA1	Guanine nucleotide Exchange on ARF	NA
YEL022W	GEA2	Guanine nucleotide Exchange on ARF	NA
YJR040W	GEF1	"Glycerol Ethanol, Ferric requiring"	NA
YAL048C	GEM1	GTPase EF-hand protein of Mitochondria	NA
YOR205C	GEP3	GEnetic interactors of Prohibitins	NA
YHR100C	GEP4	GEnetic interactors of Prohibitins	Yeast7.6
YLR091W	GEP5	GEnetic interactors of Prohibitins	NA
YGL057C	GEP7	GEnetic interactors of Prohibitins	NA
YGL020C	GET1	Guided Entry of Tail-anchored proteins	NA
YER083C	GET2	Guided Entry of Tail-anchored proteins	NA
YDL100C	GET3	Guided Entry of Tail-anchored proteins	Yeast7.6
YOR164C	GET4	Guided Entry Tail-anchored proteins	NA
YCL073C	GEX1	Glutathione EXchanger	NA
YKR106W	GEX2	Glutathione EXchanger	NA
YKL104C	GFA1	Glutamine:Fructose-6-phosphate Amidotransferase	Yeast7.6
YMR255W	GFD1	Good For Dbp5p	NA
YCL036W	GFD2	Great for Full DEAD box protein activity	NA
YDR358W	GGA1	"Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein"	NA
YHR108W	GGA2	"Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein"	NA
YDL198C	GGC1	GDP/GTP Carrier	Yeast7.6
YHR061C	GIC1	GTPase Interactive Component	NA
YDR309C	GIC2	GTPase Interactive Component	NA
YCL039W	GID7	Glucose Induced Degradation deficient	NA
YMR135C	GID8	Glucose Induced Degradation deficient	NA
YNL153C	GIM3	Gene Involved in Microtubule biogenesis	NA
YEL003W	GIM4	Gene Involved in Microtubule biogenesis	NA
YML094W	GIM5	Gene Involved in Microtubule biogenesis	NA
YDR507C	GIN4	Growth Inhibitory	NA
YBR045C	GIP1	Glc7-Interacting Protein	NA
YER054C	GIP2	Glc7-Interacting Protein	NA
YPL137C	GIP3	Glc7 Interacting Protein	NA
YAL031C	GIP4	Glc7 Interacting Protein	NA
YDR152W	GIR2	Genetically Interacts with Ribosomal genes	NA
YDR096W	GIS1	GIg1-2 Suppressor	NA
YNL255C	GIS2	GIg Suppressor	NA
YLR094C	GIS3	GIg1-2 Suppressor	NA
YML006C	GIS4	GIg1-2 Suppressor	NA
YCR098C	GIT1	GlycerophosphoInosiTol	Yeast7.6
YEL011W	GLC3	GLyCogen	NA
YER133W	GLC7	GLyCogen	NA
YMR311C	GLC8	GLyCogen	NA
YDL207W	GLE1	GLFG (glycine-leucine-phenylalanine-glycine) LEthal	NA
YER107C	GLE2	GLFG LEthal	NA
YKR058W	GLG1	Glycogenin-Like Gene	Yeast7.6
YJL137C	GLG2	Glycogenin-Like Gene	Yeast7.6
YCL040W	GLK1	GLucoKinase	Yeast7.6
YPR035W	GLN1	GLutamiNe metabolism	Yeast7.6
YER040W	GLN3	GLutamiNe metabolism	NA
YOR168W	GLN4	GLutamiNe metabolism	Yeast7.6
YML004C	GLO1	GLyOxalase	Yeast7.6
YDR272W	GLO2	GLyOxalase	Yeast7.6
YER122C	GLO3	GLyOxalase	NA
YOR040W	GLO4	GLyOxalase	Yeast7.6
YPL091W	GLR1	GLutathione Reductase	Yeast7.6
YDL171C	GLT1	GLuTamate synthase	Yeast7.6
YEL046C	GLY1	GLYcine requiring	Yeast7.6
YDR506C	GMC1	Grand Meiotic recombination Cluster	NA
YLR445W	GMC2	Grand Meiotic recombination Cluster	NA
YKR030W	GMH1	Gea1-6 Membrane-associated High-copy suppressor	NA
YFL017C	GNA1	GlucosamiNe-6-phosphate Acetyltransferase	Yeast7.6
YHR183W	GND1	6-phosphoGlucoNateDehydrogenase	Yeast7.6
YGR256W	GND2	6-phosphoGlucoNateDehydrogenase	Yeast7.6
YDR508C	GNP1	GlutamiNe Permease	Yeast7.6
YOR320C	GNT1	GlcNAc Transferase	NA
YJL184W	GON7		NA
YNL274C	GOR1	GlyOxylate Reductase	NA
YHL031C	GOS1	GOlgi Snare	NA
YMR292W	GOT1	GOlgi Transport	NA
YHR005C	GPA1	G Protein Alpha subunit	NA
YER020W	GPA2	G Protein Alpha subunit	NA
YOR371C	GPB1		NA
YAL056W	GPB2		NA
YGR149W	GPC1	GlyceroPhosphoCholine acyltransferase	NA
YDL022W	GPD1	Glycerol-3-Phosphate Dehydrogenase	Yeast7.6
YOL059W	GPD2	Glycerol-3-Phosphate Dehydrogenase	Yeast7.6
YGL121C	GPG1	G Protein Gamma	NA
YPR160W	GPH1	Glycogen PHosphorylase	Yeast7.6
YGR216C	GPI1	GlycosylPhosphatidylInositol anchoring biosynthesis	NA
YGL142C	GPI10	GlycosylPhosphatidylInositol anchor biosynthesis	Yeast7.6
YDR302W	GPI11	GlycosylPhosphatidylInositol anchor biosynthesis	Yeast7.6
YMR281W	GPI12	GlycosylPhosphatidylInositol anchor biosynthesis	Yeast7.6
YLL031C	GPI13	GlycosylPhosphatidylInositol anchor biosynthesis	Yeast7.6
YJR013W	GPI14	GlycosylPhosphatidylInositol anchor biosynthesis	Yeast7.6
YNL038W	GPI15	GlycosylPhosphatidylInositol anchor biosynthesis	NA
YHR188C	GPI16	GlycosylPhosphatidylInositol anchor biosynthesis	NA
YDR434W	GPI17	GlycosylPhosphatidylInositol anchor biosynthesis	NA
YBR004C	GPI18	GlycosylPhosphatidylInositol	Yeast7.6
YDR437W	GPI19	Glycosyl PhosphatidylInositol anchor biosynthesis	NA
YPL076W	GPI2	GlycosylPhosphatidylInositol anchor biosynthesis	NA
YDR331W	GPI8	GlycosylPhosphatidylInositol anchor biosynthesis	NA
YKL152C	GPM1	Glycerate PhosphoMutase	Yeast7.6
YDL021W	GPM2	Glycerate PhosphoMutase	NA
YOL056W	GPM3	Glycerate PhosphoMutase	NA
YOR262W	GPN2	Gly-Pro-Asn (N) motif	NA
YLR243W	GPN3	Gly-Pro-Asn (N) motif	NA
YIL053W	GPP1	Glycerol-3-Phosphate Phosphatase	Yeast7.6
YER062C	GPP2	Glycerol-3-Phosphate Phosphatase	Yeast7.6
YDL035C	GPR1	G-Protein coupled Receptor	NA
YKR067W	GPT2	Glycerol-3-Phosphate acylTransferase	Yeast7.6
YKL026C	GPX1	Glutathione PeroXidase	Yeast7.6
YBR244W	GPX2	Glutathione PeroXidase	Yeast7.6
YLL035W	GRC3		NA
YPL223C	GRE1	Genes de Respuesta a Estres (spanish for stress responsive genes)	NA
YOL151W	GRE2	Genes de Respuesta a Estres (stress responsive genes)	Yeast7.6
YHR104W	GRE3	Genes de Respuesta a Estres (stress responsive genes)	Yeast7.6
YDR517W	GRH1	GRasp65 (Golgi reassembly stacking protein of 65kD) Homolog	NA
YJR090C	GRR1	Glucose Repression-Resistant	NA
YBR121C	GRS1	Glycyl-tRNA Synthase	Yeast7.6
YPR081C	GRS2	Glycyl-tRNA Synthase	Yeast7.6
YCL035C	GRX1	GlutaRedoXin	Yeast7.6
YDR513W	GRX2	GlutaRedoXin	Yeast7.6
YDR098C	GRX3	GlutaRedoXin	Yeast7.6
YER174C	GRX4	GlutaRedoXin	Yeast7.6
YPL059W	GRX5	GlutaRedoXin	Yeast7.6
YDL010W	GRX6	GlutaRedoXin	NA
YBR014C	GRX7	GlutaRedoXin	NA
YLR364W	GRX8	GlutaRedoXin	NA
YGR032W	GSC2	Glucan Synthase of Cerevisiae	Yeast7.6
YML048W	GSF2	Glucose Signaling Factor	NA
YJL101C	GSH1	glutathione (GSH)	Yeast7.6
YOL049W	GSH2	Glutathione	Yeast7.6
YJL103C	GSM1	Glucose Starvation Modulator	NA
YLR293C	GSP1	Genetic Suppressor of Prp20-1	NA
YOR185C	GSP2	Genetic Suppressor of Prp20-1	NA
YFR015C	GSY1	Glycogen SYnthase	Yeast7.6
YLR258W	GSY2	Glycogen SYnthase	Yeast7.6
YDR221W	GTB1	Glucosidase Two Beta-subunit	NA
YGR102C	GTF1	Glutaminyl Transamidase subunit F	NA
YGR154C	GTO1	Glutathione Transferase Omega-like	NA
YMR251W	GTO3	Glutathione Transferase Omega-like	NA
YML121W	GTR1	GTp binding protein Resemblance	NA
YGR163W	GTR2	GTp binding protein Resemblance	NA
YGL181W	GTS1	Glycine Threonine Serine repeat protein	NA
YIR038C	GTT1	GlutaThione Transferase	NA
YLL060C	GTT2	GlutaThione Transferase	NA
YEL017W	GTT3	GlutaThione Transferase	NA
YMR217W	GUA1	GUanine Auxotroph	Yeast7.6
YDL238C	GUD1	GUanine Deaminase	Yeast7.6
YLR289W	GUF1	Gtpase of Unknown Function	NA
YDR454C	GUK1	GUanylate Kinase	Yeast7.6
YGL084C	GUP1	Glycerol UPtake	Yeast7.6
YPL189W	GUP2	Glycerol UPtake	Yeast7.6
YGL245W	GUS1	GlUtamyl-tRNA Synthetase	Yeast7.6
YHL032C	GUT1	Glycerol UTilization	Yeast7.6
YIL155C	GUT2	Glycerol UTilization	Yeast7.6
YIL041W	GVP36	Golgi Vesicle Protein	NA
YJL091C	GWT1	GPI-anchored Wall protein Transfer	Yeast7.6
YMR192W	GYL1	GYp Like	NA
YOR070C	GYP1	Gtpase-activating protein for YPt1p	NA
YPL249C	GYP5	Gtpase-activating protein for Ypt Proteins	NA
YJL044C	GYP6	Gtpase-activating protein of Ypt6 Protein	NA
YDL234C	GYP7	Gtpase-activating protein for Ypt7 Protein	NA
YFL027C	GYP8	Gtpase-activating protein for Ypt Proteins	NA
YJL110C	GZF3	Gata Zinc Finger protein	NA
YPR008W	HAA1	Homolog of Ace1 Activator	NA
YFL031W	HAC1	Homologous to Atf/Creb1	NA
YPR005C	HAL1	HALotolerance	NA
YJL165C	HAL5	HALotolerance	NA
YOL089C	HAL9	HALotolerance	NA
YJR069C	HAM1	6-n-HydroxylAMinopurine sensitive	NA
YLR256W	HAP1	Heme Activator Protein	NA
YGL237C	HAP2	Heme Activator Protein	NA
YBL021C	HAP3	Heme Activator Protein	NA
YKL109W	HAP4	Heme Activator Protein	NA
YOR358W	HAP5	Heme Activator Protein	NA
YMR290C	HAS1	Helicase Associated with Set1	NA
YPL001W	HAT1	Histone AcetylTransferase	NA
YEL056W	HAT2	Histone AcetylTransferase	NA
YCL026C-B	HBN1	Homologous to Bacterial Nitroreductases	NA
YKR084C	HBS1	Hsp70 subfamily B Suppressor	NA
YDL223C	HBT1	HuB1 Target	NA
YJL033W	HCA4	Helicase CA	NA
YNL281W	HCH1	High-Copy Hsp90 suppressor	NA
YCR065W	HCM1	High-Copy suppressor of Calmodulin	NA
YLR192C	HCR1	High-Copy suppressor of Rpg1	NA
YKL017C	HCS1	dna HeliCaSe	NA
YNL021W	HDA1	Histone DeAcetylase	NA
YDR295C	HDA2	Histone DeAcetylase	NA
YPR179C	HDA3	Histone DeAcetylase	NA
YDR014W-A	HED1	High copy suppressor of rED1	NA
YNL014W	HEF3	Homolog of EF-3	NA
YDR458C	HEH2	Helix-Extension-Helix domain	NA
YBL032W	HEK2	HEterogeneous nuclear rnp K-like gene	NA
YKR017C	HEL1	Histone E3 Ligase	NA
YDR266C	HEL2	Histone E3 Ligase	NA
YDR232W	HEM1	HEMe biosynthesis	Yeast7.6
YDR047W	HEM12	HEMe biosynthesis	Yeast7.6
YDR044W	HEM13	HEMe biosynthesis	Yeast7.6
YER014W	HEM14	HEMe biosynthesis	Yeast7.6
YOR176W	HEM15	HEMe biosynthesis	Yeast7.6
YGL040C	HEM2	HEMe biosynthesis	Yeast7.6
YDL119C	HEM25	HEMe synthesis by SLC25 family member	NA
YDL205C	HEM3	HEMe biosynthesis	Yeast7.6
YOR278W	HEM4	HEMe biosynthesis	Yeast7.6
YOR227W	HER1	Hmg2p ER Remodeling	NA
YMR293C	HER2	Hmg2p ER Remodeling	Yeast7.6
YOR237W	HES1	Homologous to kES1	NA
YMR207C	HFA1		Yeast7.6
YMR110C	HFD1	Homolog of Fatty aldehyde Dehydrogenase	NA
YPL254W	HFI1	Histone H2A Functional Interactor	NA
YGL251C	HFM1	Helicase Family Member	NA
YGR187C	HGH1	HmG1/2 Homolog	NA
YBR009C	HHF1	Histone H Four	NA
YNL030W	HHF2	Histone H Four	NA
YPL127C	HHO1	Histone H One	NA
YBR010W	HHT1	Histone H Three	NA
YNL031C	HHT2	Histone H Three	NA
YEL059W	HHY1	Hypersensitivity to HYgromycin B	NA
YLL022C	HIF1	Hat1 Interacting Factor	NA
YDR317W	HIM1	High Induced Mutagenesis	NA
YGR191W	HIP1	HIstidine Permease	Yeast7.6
YBL008W	HIR1	HIstone Regulation	NA
YOR038C	HIR2	HIstone Regulation	NA
YJR140C	HIR3	HIstone Regulation	NA
YER055C	HIS1	HIStidine	Yeast7.6
YFR025C	HIS2	HIStidine requiring	Yeast7.6
YOR202W	HIS3	HIStidine	Yeast7.6
YCL030C	HIS4	HIStidine requiring	Yeast7.6
YIL116W	HIS5	HIStidine requiring	Yeast7.6
YIL020C	HIS6	HIStidine requiring	Yeast7.6
YBR248C	HIS7	HIStidine requiring	Yeast7.6
YJR055W	HIT1	HIgh Temperature growth	NA
YDR420W	HKR1	Hansenula mrakii Killer toxin Resistant	NA
YMR161W	HLJ1	HomoLogous to E. coli dnaJ protein	NA
YDR528W	HLR1	Homolog of LRe1	NA
YER057C	HMF1	Homologous Mmf1p Factor	NA
YML075C	HMG1	3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase	Yeast7.6
YLR450W	HMG2	3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase	Yeast7.6
YOL095C	HMI1	Helicase in MItochondria	NA
YCL066W	HMLALPHA1	Hidden Mat Left ALPHA	NA
YCL067C	HMLALPHA2	Hidden Mat Left ALPHA	NA
YDR174W	HMO1	High MObility group (HMG) family	NA
YCR097W	HMRA1	Hidden Mat Right A	NA
YCR096C	HMRA2	Hidden Mat Right A	NA
YOR032C	HMS1	High-copy Mep Suppressor	NA
YJR147W	HMS2	High-copy Mep Suppressor	NA
YBR034C	HMT1	HnRNP MethylTransferase	Yeast7.6
YLR205C	HMX1	HeMe oXygenase	NA
YGL077C	HNM1	Hyper-resistance to Nitrogen Mustard	Yeast7.6
YDL125C	HNT1	Histidine triad NucleoTide-binding	NA
YDR305C	HNT2	Histidine triad NucleoTide-binding	Yeast7.6
YOR258W	HNT3	Histidine triad NucleoTide-binding	NA
YDL227C	HO	HOmothallic switching endonuclease	NA
YJR075W	HOC1	Homologous to OCh1	NA
YMR032W	HOF1	Homolog Of cdc Fifteen	NA
YLR113W	HOG1	High Osmolarity Glycerol response	NA
YNR055C	HOL1	HistidinOl	NA
YDR158W	HOM2	HOMoserine requiring	Yeast7.6
YER052C	HOM3	HOMoserine requiring	Yeast7.6
YJR139C	HOM6	HOMoserine requiring	Yeast7.6
YIL072W	HOP1	HOmolog Pairing	NA
YGL033W	HOP2	HOmologous Pairing	NA
YMR251W-A	HOR7	HyperOsmolarity-Responsive	NA
YPR068C	HOS1	Hda One Similar	NA
YGL194C	HOS2	Hda One Similar	NA
YPL116W	HOS3	Hda One Similar	NA
YIL112W	HOS4	Hda One Similar	NA
YMR172W	HOT1	High-Osmolarity-induced Transcription	NA
YKL084W	HOT13	Helper Of Tim	NA
YPR193C	HPA2	Histone and other Protein Acetyltransferase	NA
YEL066W	HPA3	Histone and other Protein Acetyltransferase	NA
YBR215W	HPC2	Histone Periodic Control	NA
YOL155C	HPF1	Haze Protective Factor	NA
YIL110W	HPM1	Histidine Protein Methyltransferase	NA
YDR138W	HPR1	HyPerRecombination	NA
YDR399W	HPT1	Hypoxanthine guanine PhosphoribosylTransferase	Yeast7.6
YNL004W	HRB1	Hypothetical RNA-Binding protein	NA
YOL013C	HRD1	HMG-coA Reductase Degradation	NA
YLR207W	HRD3	HMG-coA Reductase Degradation	NA
YLR301W	HRI1	HRr25 Interacting	NA
YOR267C	HRK1	Hygromycin Resistance Kinase	NA
YOL123W	HRP1	Heterogenous nuclear RibonucleoProtein	NA
YDR291W	HRQ1	Homologous to RecQ protein	NA
YPL204W	HRR25	HO and Radiation Repair	NA
YOL133W	HRT1	High level expression Reduces Ty3 transposition	NA
YLR097C	HRT3	High level expression Reduces Ty3 transposition	NA
YMR186W	HSC82		NA
YHL002W	HSE1	Has Symptoms of class E mutants	NA
YGL073W	HSF1	Heat Shock transcription Factor	NA
